city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",random,all_hd,50,6,21.95,0.17350000143051147,0.0,0.0,463.5,0.044,False
"Minneapolis, MN",random,all_hd,50,7,21.95,0.1736000031232834,0.0,0.0,463.5,0.038,False
"Minneapolis, MN",random,all_hd,50,8,21.96,0.1738000065088272,0.0,0.0,463.1,0.032,False
"Minneapolis, MN",random,all_hd,50,9,21.95,0.17350000143051147,0.0,0.0,463.5,0.033,False
"Minneapolis, MN",flood-focused,all_gi,10,0,27.41,0.22290000319480896,0.0,1172.9,294.2,0.029,False
"Minneapolis, MN",flood-focused,all_gi,10,1,27.41,0.22269999980926514,0.0,1172.9,294.2,0.028,False
"Minneapolis, MN",flood-focused,all_gi,10,2,27.41,0.22290000319480896,0.0,1172.9,294.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,10,3,27.4,0.22269999980926514,0.0,1172.9,294.4,0.029,False
"Minneapolis, MN",flood-focused,all_gi,10,4,27.4,0.22280000150203705,0.0,1172.9,294.4,0.029,False
"Minneapolis, MN",flood-focused,all_gi,10,5,27.41,0.22280000150203705,0.0,1172.9,294.2,0.03,False
"Minneapolis, MN",flood-focused,all_gi,10,6,27.41,0.22269999980926514,0.0,1172.9,294.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,10,7,27.4,0.22280000150203705,0.0,1172.9,294.4,0.032,False
"Minneapolis, MN",flood-focused,all_gi,10,8,27.41,0.22269999980926514,0.0,1172.9,294.2,0.035,False
"Minneapolis, MN",flood-focused,all_gi,10,9,27.41,0.2224999964237213,0.0,1172.9,294.2,0.03,False
"Minneapolis, MN",flood-focused,all_gi,25,0,32.02,0.2709999978542328,0.0,2932.6,185.0,0.031,False
"Minneapolis, MN",flood-focused,all_gi,25,1,32.01,0.27090001106262207,0.0,2932.6,185.2,0.031,False
"Minneapolis, MN",flood-focused,all_gi,25,2,32.01,0.27090001106262207,0.0,2932.6,185.2,0.03,False
